[10:15:47]  COMMAND	POST 	 "/wd/hub/session"
[10:15:47]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"maxInstances":1,"browserName":"chrome","browserVersion":"latest","parentTunnel":"nmadmin","tunnelIdentifier":"nmadmin-temp-tunnel","screenResolution":"1280x1024","_":"2 more keys: [\"loggingPrefs\",\"requestOrigins\"]"}}
[10:15:54]  INFO	SET SESSION ID 55436f9647014cf4bb3703d225996252
[10:15:54]  RESULT		{"takesScreenshot":true,"acceptSslCerts":true,"networkConnectionEnabled":false,"mobileEmulationEnabled":false,"unexpectedAlertBehaviour":"","applicationCacheEnabled":false,"locationContextEnabled":true,"rotatable":false,"chrome":{"chromedriverVersion":"2.34.522940 (1a76f96f66e3ca7b8e57d503b4dd3bccfba87af1)","userDataDir":"C:\\Users\\ADMINI~1\\AppData\\Local\\Temp\\scoped_dir1044_28516"},"hasTouchScreen":false,"platform":"Windows NT","version":"64.0.3282.119","nativeEvents":true,"handlesAlerts":true,"takesHeapSnapshot":true,"javascriptEnabled":true,"databaseEnabled":false,"webdriver.remote.sessionid":"55436f9647014cf4bb3703d225996252","browserName":"chrome","hasMetadata":true,"webStorageEnabled":true,"browserConnectionEnabled":false,"cssSelectorsEnabled":true,"setWindowRect":true,"pageLoadStrategy":"normal"}
[10:15:54]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/url"
[10:15:54]  DATA		{"url":"https://www.ultimateqa.com/complicated-page/"}
[10:15:57]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/execute"
[10:15:57]  DATA		{"script":"sauce:context=repro page - reproduce the issue","args":[]}
>>> combined .waitForVisible()
[10:15:57]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/elements"
[10:15:57]  DATA		{"using":"css selector","value":"#main-content .entry-content .et_pb_row_1 .et_pb_text div:nth-child(1)"}
[10:15:57]  RESULT		[{"ELEMENT":"0.34934838981914584-1"}]
[10:15:57]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-1/displayed"
[10:15:57]  DATA		{}
[10:15:57]  RESULT		true
[10:15:57]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/elements"
[10:15:57]  DATA		{"using":"css selector","value":"#main-content .entry-content .et_pb_row_1 .et_pb_text div:nth-child(1)"}
[10:15:57]  RESULT		[{"ELEMENT":"0.34934838981914584-1"}]
[10:15:57]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-1/displayed"
[10:15:57]  DATA		{}
[10:15:58]  RESULT		true
Visible using combined selector: true
<<< combined .waitForVisible()
>>> chained .waitForVisible()
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element"
[10:15:58]  DATA		{"using":"id","value":"main-content"}
[10:15:58]  RESULT		{"ELEMENT":"0.34934838981914584-2"}
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-2/element"
[10:15:58]  DATA		{"using":"css selector","value":".entry-content"}
[10:15:58]  RESULT		{"ELEMENT":"0.34934838981914584-3"}
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-3/element"
[10:15:58]  DATA		{"using":"css selector","value":".et_pb_row_1"}
[10:15:58]  RESULT		{"ELEMENT":"0.34934838981914584-4"}
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-4/element"
[10:15:58]  DATA		{"using":"css selector","value":".et_pb_text"}
[10:15:58]  RESULT		{"ELEMENT":"0.34934838981914584-5"}
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-5/element"
[10:15:58]  DATA		{"using":"css selector","value":"div:nth-child(1)"}
[10:15:58]  RESULT		{"ELEMENT":"0.34934838981914584-1"}
[10:15:58]  COMMAND	POST 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/elements"
[10:15:58]  DATA		{"using":"css selector","value":"div:nth-child(1)"}
[10:15:58]  RESULT		[{"ELEMENT":"0.34934838981914584-6"},{"ELEMENT":"0.34934838981914584-7"},{"ELEMENT":"0.34934838981914584-8"},{"ELEMENT":"0.34934838981914584-9"},{"ELEMENT":"0.34934838981914584-10"},{"ELEMENT":"0.3493 ... (5131 more bytes)
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-6/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-7/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-8/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-9/displayed"
[10:15:59]  DATA		{}
[10:15:59]  COMMAND	GET 	 "/wd/hub/session/55436f9647014cf4bb3703d225996252/element/0.34934838981914584-10/displayed"
[10:15:59]  DATA		{}
